Provincias;Sexo;Periodo;Total
02 Albacete;Total;2019;388.167
03 Alicante/Alacant;Total;2019;1.858.683
04 Almería;Total;2019;716.820
01 Araba/Álava;Total;2019;331.549
33 Asturias;Total;2019;1.022.800
05 Ávila;Total;2019;157.640
06 Badajoz;Total;2019;673.559
07 Balears, Illes;Total;2019;1.149.460
08 Barcelona;Total;2019;5.664.579
48 Bizkaia;Total;2019;1.152.651
09 Burgos;Total;2019;356.958
10 Cáceres;Total;2019;394.151
11 Cádiz;Total;2019;1.240.155
39 Cantabria;Total;2019;581.078
12 Castellón/Castelló;Total;2019;579.962
13 Ciudad Real;Total;2019;495.761
14 Córdoba;Total;2019;782.979
15 Coruña, A;Total;2019;1.119.596
16 Cuenca;Total;2019;196.329
20 Gipuzkoa;Total;2019;723.576
17 Girona;Total;2019;771.044
18 Granada;Total;2019;914.678
19 Guadalajara;Total;2019;257.762
21 Huelva;Total;2019;521.870
22 Huesca;Total;2019;220.461
23 Jaén;Total;2019;633.564
24 León;Total;2019;460.001
25 Lleida;Total;2019;434.930
27 Lugo;Total;2019;329.587
28 Madrid;Total;2019;6.663.394
29 Málaga;Total;2019;1.661.785
30 Murcia;Total;2019;1.493.898
31 Navarra;Total;2019;654.214
32 Ourense;Total;2019;307.651
34 Palencia;Total;2019;160.980
35 Palmas, Las;Total;2019;1.120.406
36 Pontevedra;Total;2019;942.665
26 Rioja, La;Total;2019;316.798
37 Salamanca;Total;2019;330.119
38 Santa Cruz de Tenerife;Total;2019;1.032.983
40 Segovia;Total;2019;153.129
41 Sevilla;Total;2019;1.942.389
42 Soria;Total;2019;88.636
43 Tarragona;Total;2019;804.664
44 Teruel;Total;2019;134.137
45 Toledo;Total;2019;694.844
46 Valencia/València;Total;2019;2.565.124
47 Valladolid;Total;2019;519.546
49 Zamora;Total;2019;172.539
50 Zaragoza;Total;2019;964.693
51 Ceuta;Total;2019;84.777
52 Melilla;Total;2019;86.487
